182	88
199	100
178	49
192	93
190	93
174	70
191	94
186	76
192	84
194	62
185	66
184	86
184	71
197	98
187	92
200	96
198	91
177	51
189	90
174	78
198	91
193	93
184	35
190	79
187	85
192	93
182	95
193	71
193	67
196	100
185	82
182	88
186	66
187	83
198	98
198	99
185	96
191	79
191	84
190	82
177	74
190	71
196	97
163	66
160	64
181	83
191	84
174	63
190	80
187	75
192	97
189	82
186	86
192	76
186	75
190	95
189	87
167	42
194	98
181	72
182	37
193	90
187	87
193	99
194	99
178	73
192	93
182	87
150	2
134	20
153	65
132	4
189	96
122	7
153	37
182	65
192	80
177	90
194	97
121	2
189	85
194	88
178	62
160	23
143	0
167	0
161	54
195	96
149	3
187	73
174	14
191	81
147	34
140	51
180	70
182	98
118	6
120	14
159	29
189	77
177	84
168	63
195	93
137	7
149	6
139	0
174	55
168	66
192	70
178	63
133	52
123	0
163	60
170	43
189	63
177	74
123	20
150	44
157	15
150	7
130	7
136	3
192	80
177	95
174	64
195	81
107	11
174	67
152	25
194	82
135	26
157	79
181	82
124	11
145	36
185	42
147	37
175	62
192	75
182	61
167	28
177	71
125	27
191	64
110	14
177	73
145	66
130	16
149	23
191	72
145	47
130	3
155	13
187	84
136	0
137	21
184	66
140	33
192	93
156	39
136	0
192	95
181	67
149	39
184	81
153	0
192	77
176	59
191	73
157	30
145	0
172	42
125	33
185	93
133	28
185	90
134	43
143	56
181	45
167	28
195	97
143	26
191	93
145	37
117	30
178	72
111	5
160	45
185	92
185	66
181	83
175	64
125	46
107	20
155	52
182	76
